Gen;Location;Block;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Sedimentation;Falling_number;Crude_protein
BRISONr_215;QLB;B1;84.00;64.05;474.00;1388.48;26.94;30.93;604.00;34.00;274.00;13.16
BRISONr_216;QLB;B1;81.00;58.88;518.24;1726.16;26.75;27.90;584.00;42.00;175.00;15.29
BRISONr_217;QLB;B1;64.00;58.43;378.56;1078.48;28.15;30.57;704.00;37.00;264.00;12.50
BRISONr_218;QLB;B1;91.00;69.46;552.08;1634.72;25.20;27.27;632.00;38.00;170.00;12.08
BRISONr_219;QLB;B1;68.00;43.16;361.44;1272.48;22.16;23.73;528.00;55.00;215.00;16.42
BRISONr_220;QLB;B1;77.00;58.13;505.44;1580.24;25.71;27.40;616.00;28.00;226.00;13.39
BRISONr_1;QLB;B2;71.00;52.72;378.08;1143.20;29.52;32.10;524.00;42.00;270.00;13.93
BRISONr_2;QLB;B2;71.00;32.55;373.12;1182.72;23.56;29.93;568.00;41.00;105.00;14.25
BRISONr_3;QLB;B2;75.00;41.74;246.16;835.44;29.35;28.33;488.00;50.00;240.00;15.55
BRISONr_4;QLB;B2;75.00;50.53;427.28;1466.56;28.23;28.67;712.00;35.00;144.00;16.21
BRISONr_5;QLB;B2;70.00;48.01;421.76;1266.56;33.02;31.73;472.00;49.00;305.00;16.42
BRISONr_6;QLB;B2;77.00;50.64;291.20;885.12;28.64;30.47;472.00;52.00;350.00;15.28
BRISONr_7;QLB;B2;74.00;44.52;449.36;1280.88;28.81;31.73;488.00;42.00;128.00;14.59
BRISONr_8;QLB;B2;79.00;46.40;364.00;1161.28;29.64;31.47;512.00;29.00;162.00;15.54
BRISONr_9;QLB;B2;78.00;54.77;476.08;1540.00;28.29;28.10;536.00;49.00;372.00;15.29
BRISONr_10;QLB;B2;75.00;53.23;519.68;1372.72;26.40;28.00;632.00;50.00;356.00;14.59
BRISONr_11;QLB;B2;72.00;33.44;314.96;1130.80;30.87;30.76;;46.00;278.00;13.61
BRISONr_12;QLB;B2;83.00;49.50;417.04;1482.80;33.94;37.50;576.00;55.00;367.00;15.07
BRISONr_13;QLB;B2;81.00;47.61;461.84;1413.36;28.29;31.00;564.00;52.00;186.00;14.85
BRISONr_14;QLB;B2;72.00;51.51;439.44;1210.80;30.01;34.60;568.00;37.00;344.00;15.48
BRISONr_15;QLB;B2;64.00;37.17;190.80;969.92;29.39;30.37;524.00;44.00;231.00;15.80
BRISONr_16;QLB;B2;71.00;44.48;431.28;1393.04;30.50;30.83;640.00;40.00;259.00;15.35
BRISONr_17;QLB;B2;74.00;47.51;416.48;1210.80;32.36;32.73;484.00;46.00;251.00;15.75
BRISONr_18;QLB;B2;83.00;44.23;363.44;1182.08;36.70;35.10;408.00;47.00;296.00;15.80
